"brand_name","sku","sku_merchant","price","core","shipping","handling","url","large_image_url","description","part_type"
"Beck Arnley","016-0050","016-0050","9.25","0.00","7.12","0.00","http://www.carparts.com/details/Beck_Arnley/Oil_Filler_Cap/016-0050.html?TID=CJ00001CP&cj=1","http://img2s.cpsimg.com/is/image/Autos/016-0050_is?$200x200$","<b>BECK ARNLEY ENGINE OIL FILLER CAP, NEW</b><p>Beck Arnley Oil Filler Caps are thoroughly built to carry out vehicle needs and owners selection since automotive experts carefully toughened and cycled all components for safekeeping and supreme function.</p><p>Beck Arnley is a leading provider of quality automotive parts equivalent to OE structure, fit, and performance together with the hard-to-find merchandises for cars, light trucks, and SUVs. Beck Arnley's years of experience and proficiency in global sourcing provides vehicle owners the precise part for the right and most up-to-date vehicle applications.</p>","Oil Filler Cap"
"Beck Arnley","016-0052","016-0052","8.40","0.00","7.12","0.00","http://www.carparts.com/details/Beck_Arnley/Oil_Filler_Cap/016-0052.html?TID=CJ00001CP&cj=1","http://img2s.cpsimg.com/is/image/Autos/016-0052_is?$200x200$","<b>BECK ARNLEY ENGINE OIL FILLER CAP, NEW</b><p>Beck Arnley Oil Filler Caps are thoroughly built to carry out vehicle needs and owners selection since automotive experts carefully toughened and cycled all components for safekeeping and supreme function.</p><p>Beck Arnley is a leading provider of quality automotive parts equivalent to OE structure, fit, and performance together with the hard-to-find merchandises for cars, light trucks, and SUVs. Beck Arnley's years of experience and proficiency in global sourcing provides vehicle owners the precise part for the right and most up-to-date vehicle applications.</p>","Oil Filler Cap"
"Beck Arnley","016-0053","016-0053","19.95","0.00","7.12","0.00","http://www.carparts.com/details/Beck_Arnley/Oil_Filler_Cap/016-0053.html?TID=CJ00001CP&cj=1","http://img2s.cpsimg.com/is/image/Autos/016-0053_is?$200x200$","<b>BECK ARNLEY ENGINE OIL FILLER CAP, NEW</b><p>Beck Arnley Oil Filler Caps are thoroughly built to carry out vehicle needs and owners selection since automotive experts carefully toughened and cycled all components for safekeeping and supreme function.</p><p>Beck Arnley is a leading provider of quality automotive parts equivalent to OE structure, fit, and performance together with the hard-to-find merchandises for cars, light trucks, and SUVs. Beck Arnley's years of experience and proficiency in global sourcing provides vehicle owners the precise part for the right and most up-to-date vehicle applications.</p>","Oil Filler Cap"
"Beck Arnley","016-0082","016-0082","7.65","0.00","7.12","0.00","http://www.carparts.com/details/Beck_Arnley/Oil_Filler_Cap/016-0082.html?TID=CJ00001CP&cj=1","http://img2s.cpsimg.com/is/image/Autos/016-0082_is?$200x200$","<b>BECK ARNLEY ENGINE OIL FILLER CAP, NEW</b><p>Beck Arnley Oil Filler Caps are thoroughly built to carry out vehicle needs and owners selection since automotive experts carefully toughened and cycled all components for safekeeping and supreme function.</p><p>Beck Arnley is a leading provider of quality automotive parts equivalent to OE structure, fit, and performance together with the hard-to-find merchandises for cars, light trucks, and SUVs. Beck Arnley's years of experience and proficiency in global sourcing provides vehicle owners the precise part for the right and most up-to-date vehicle applications.</p>","Oil Filler Cap"
"Beck Arnley","016-0088","016-0088","7.75","0.00","6.84","0.00","http://www.carparts.com/details/Beck_Arnley/Oil_Drain_Plug/016-0088.html?TID=CJ00001CP&cj=1","http://img2s.cpsimg.com/is/image/Autos/016-0088_is?$200x200$","<b>BECK ARNLEY OIL DRAIN PLUG</b><p>Beck Arnley Oil Drain Plugs are thoroughly built to carry out vehicle needs and owners selection since automotive experts carefully toughened and cycled all components for safekeeping and supreme function.</p><p>Beck Arnley is a leading provider of quality automotive parts equivalent to OE structure, fit, and performance together with the hard-to-find merchandises for cars, light trucks, and SUVs. Beck Arnley's years of experience and proficiency in global sourcing provides vehicle owners the precise part for the right and most up-to-date vehicle applications.</p>","Oil Drain Plug"
"Beck Arnley","016-0093","016-0093","6.54","0.00","6.84","0.00","http://www.carparts.com/details/Beck_Arnley/Oil_Drain_Plug/016-0093.html?TID=CJ00001CP&cj=1","http://img2s.cpsimg.com/is/image/Autos/016-0093_is?$200x200$","<b>BECK ARNLEY OIL DRAIN PLUG</b><p>Beck Arnley Oil Drain Plugs are thoroughly built to carry out vehicle needs and owners selection since automotive experts carefully toughened and cycled all components for safekeeping and supreme function.</p><p>Beck Arnley is a leading provider of quality automotive parts equivalent to OE structure, fit, and performance together with the hard-to-find merchandises for cars, light trucks, and SUVs. Beck Arnley's years of experience and proficiency in global sourcing provides vehicle owners the precise part for the right and most up-to-date vehicle applications.</p>","Oil Drain Plug"
"Beck Arnley","016-0099","016-0099","7.02","0.00","6.84","0.00","http://www.carparts.com/details/Beck_Arnley/Oil_Drain_Plug/016-0099.html?TID=CJ00001CP&cj=1","http://img2s.cpsimg.com/is/image/Autos/016-0099_is?$200x200$","<b>BECK ARNLEY OIL DRAIN PLUG</b><p>Beck Arnley Oil Drain Plugs are thoroughly built to carry out vehicle needs and owners selection since automotive experts carefully toughened and cycled all components for safekeeping and supreme function.</p><p>Beck Arnley is a leading provider of quality automotive parts equivalent to OE structure, fit, and performance together with the hard-to-find merchandises for cars, light trucks, and SUVs. Beck Arnley's years of experience and proficiency in global sourcing provides vehicle owners the precise part for the right and most up-to-date vehicle applications.</p>","Oil Drain Plug"
"Beck Arnley","016-0116","016-0116","9.80","0.00","6.84","0.00","http://www.carparts.com/details/Beck_Arnley/Oil_Drain_Plug/016-0116.html?TID=CJ00001CP&cj=1","http://img2s.cpsimg.com/is/image/Autos/016-0116_is?$200x200$","<b>BECK ARNLEY OIL DRAIN PLUG</b><p>Beck Arnley Oil Drain Plugs are thoroughly built to carry out vehicle needs and owners selection since automotive experts carefully toughened and cycled all components for safekeeping and supreme function.</p><p>Beck Arnley is a leading provider of quality automotive parts equivalent to OE structure, fit, and performance together with the hard-to-find merchandises for cars, light trucks, and SUVs. Beck Arnley's years of experience and proficiency in global sourcing provides vehicle owners the precise part for the right and most up-to-date vehicle applications.</p>","Oil Drain Plug"
"Beck Arnley","016-0121","016-0121","10.69","0.00","6.84","0.00","http://www.carparts.com/details/Beck_Arnley/Oil_Drain_Plug/016-0121.html?TID=CJ00001CP&cj=1","http://img2s.cpsimg.com/is/image/Autos/016-0121_is?$200x200$","<b>BECK ARNLEY OIL DRAIN PLUG</b><p>Beck Arnley Oil Drain Plugs are thoroughly built to carry out vehicle needs and owners selection since automotive experts carefully toughened and cycled all components for safekeeping and supreme function.</p><p>Beck Arnley is a leading provider of quality automotive parts equivalent to OE structure, fit, and performance together with the hard-to-find merchandises for cars, light trucks, and SUVs. Beck Arnley's years of experience and proficiency in global sourcing provides vehicle owners the precise part for the right and most up-to-date vehicle applications.</p>","Oil Drain Plug"
"Beck Arnley","016-0125","016-0125","20.34","0.00","7.12","0.00","http://www.carparts.com/details/Beck_Arnley/Oil_Filler_Cap/016-0125.html?TID=CJ00001CP&cj=1","http://img2s.cpsimg.com/is/image/Autos/016-0125_is?$200x200$","<b>BECK ARNLEY ENGINE OIL FILLER CAP, NEW</b><p>Beck Arnley Oil Filler Caps are thoroughly built to carry out vehicle needs and owners selection since automotive experts carefully toughened and cycled all components for safekeeping and supreme function.</p><p>Beck Arnley is a leading provider of quality automotive parts equivalent to OE structure, fit, and performance together with the hard-to-find merchandises for cars, light trucks, and SUVs. Beck Arnley's years of experience and proficiency in global sourcing provides vehicle owners the precise part for the right and most up-to-date vehicle applications.</p>","Oil Filler Cap"
