id	title	description	product_type	google_product_category	link	adwords_redirect	adwords_grouping	adwords_labels	image_link	additional_image_link	condition	availability	price	brand	mpn	color	material	shipping	shipping_weight	online_only	c:GoogleAffiliateNetworkPublish:boolean	c:GoogleAffiliateNetworkProductURL:url	c:vehicle_year:string	c:vehicle_make:string	c:vehicle_model:string	c:vehicle_submodel:string	c:part_name:string	c:vehicle_engine:string	c:product_category:string	c:product_location:string	c:product_notes:string	c:product_catalog_type:string	c:product_name:string	c:product_name1:string	c:warranty_notes:string	custom_label_0	custom_label_1	custom_label_2	custom_label_3	Fit_Note	Year_Min	Year_Max	Brand_Type	Design	Series	Operation	Part_Name	Product_Fit	SKU	Emissions	Sales	c:cost_of_goods_sold:decimal	Title LP	Product Details	Old ID	Category	Subcategory	Extra Shipping Charge	Est Cost	Variable Cost	Shipping Cost	SKU Title
3dCarbon+3DC691806	Buy Your 3dcarbon Window Trim, 3-year Or 36,000 Mile 3dcarbon Limited Warranty 691806	3dCarbon 691806 car 3dCarbon. Window Trim. New direct fit 3DCARBON WINDOW U-TRIM, RAW, SOLD INDIVIDUALLY.Trademarked by its award-winning bold and aerodynamic styling and a continuously expanding product line, 3dCarbon is undoubtedly one of the automotive industryâs leading manufacturers of styling kits and accessories.3dCarbon's Window U-Trim is manufactured from flexible, high-pressure injected polyurethane for extra strength and durability. Available pre-painted in all factory colors to OE paint specifications, and is paintable to match your vehicle's color. Requires prepping, priming, and painting prior to installation. Easily attaches with double-sided tape. Get 3dCarbon's Window U-Trim to add distinctive styling to your vehicle, now.Features:.Made from flexible, high-pressure injected polyurethane.Available pre-painted in all factory colors to OE paint specifications.Paint-to-Match.Easy installation with double-faced tape. with 3-year or 36,000 mile 3dcarbon limited warranty	Chevrolet > Camaro > 2011 > 3DC691806	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Suspension Parts	http://www.carparts.com/details/3dCarbon/Window_Trim/3DC691806.html	http://www.carparts.com/details/3dCarbon/Window_Trim/3DC691806.html?source=iraff		3dCarbon, Window Trim, 3DC691806, Window Trim, 3dCarbon	http://imgs.cpsimg.com/is/image/Autos/3dc691806_is			in stock	218.78 USD	3dCarbon	691806			US::Ground:7.00 USD	0.00 lb	Y	N								Body Mechanical & Trim								Unsold	Drop Ship			2010	2011	Branded				Window Trim	direct fit	3DC691806		No	164.13 USD	 3dCarbon Rear Window Trim	3DCARBON WINDOW U-TRIM, RAW, SOLD INDIVIDUALLYTrademarked by its award-winning bold and aerodynamic styling and a continuously expanding product line, 3dCarbon is undoubtedly one of the automotive industrys leading manufacturers of styling kits and accessories.3dCarbon's Window U-Trim is manufactured from flexible, high-pressure injected polyurethane for extra strength and durability. Available pre-painted in all factory colors to OE paint specifications, and is paintable to match your vehicle's color. Requires prepping, priming, and painting prior to installation. Easily attaches with double-sided tape. Get 3dCarbon's Window U-Trim to add distinctive styling to your vehicle, now.Features:Made from flexible, high-pressure injected polyurethaneAvailable pre-painted in all factory colors to OE paint specificationsPaint-to-MatchEasy installation with double-faced tape	cp69WiTr3d	Body Mechanical & Trim	Auto Body Styling & Accessories	3.99	143.58	13.77	6.78	3dCarbon 691806 Window Trim - Direct fit
3dCarbon+3DC691807	Buy Your 3dcarbon Fender Vents Plastic Primed, 3-year Or 36,000 Mile 3dcarbon Limited Warranty 691807	3dCarbon 691807 car 3dCarbon. Fender Vents. New direct fit plastic mesh, primed, 3D CARBON FENDER VENTS.Includes a cutting template.With powdercoated black mesh grille.Made of flexible, high pressure injected urethane.Requires cutting, prepping, priming, and painting prior to installation.Attaches to the fender with OE approved 3M Double Face Tape.3dCarbon's fender vents bring an exciting new style that embodies elegance and luxury. These fender vents promise unsurpassed quality, bold styling, and tight fit that would assure you of that one-of-a-kind look for your vehicle. with 3-year or 36,000 mile 3dcarbon limited warranty	Chevrolet > Camaro > 2011 > 3DC691807	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Exterior	http://www.carparts.com/details/3dCarbon/Fender_Vents/3DC691807.html	http://www.carparts.com/details/3dCarbon/Fender_Vents/3DC691807.html?source=iraff		3dCarbon, Fender Vents, 3DC691807, Fender Vents, 3dCarbon	http://imgs.cpsimg.com/is/image/Autos/3dc691807_is			in stock	221.65 USD	3dCarbon	691807	primed	plastic	US::Ground:7.00 USD	0.00 lb	Y	N								Accessory								Unsold	Drop Ship			2010	2011	Branded	mesh			Fender Vents	direct fit	3DC691807		No	159.02 USD	 3dCarbon Front, Driver And Passenger Side Fender Vents-primed, Plastic, Mesh	3D CARBON FENDER VENTSIncludes a cutting templateWith powdercoated black mesh grilleMade of flexible, high pressure injected urethaneRequires cutting, prepping, priming, and painting prior to installationAttaches to the fender with OE approved 3M Double Face Tape3dCarbon's fender vents bring an exciting new style that embodies elegance and luxury. These fender vents promise unsurpassed quality, bold styling, and tight fit that would assure you of that one-of-a-kind look for your vehicle.	cp69FeVe3d	Accessory	Fender Flares, Vents & Accessories	0.00	136.90	13.71	8.41	3dCarbon 691807 Fender Vents - Primed, Plastic, Mesh, Direct fit
3dCarbon+3DC691803	Buy Your 3dcarbon Rear Skirt Plastic Unpainted, 3-year Or 36,000 Mile 3dcarbon Limited Warranty 691803	3dCarbon 691803 car 3dCarbon. Rear Skirt. New direct fit plastic unpainted, 3DCARBON LOWER SKIRT.Made of flexible, high-pressure injected polyurethane.Gives an extra aggressive look for your vehicle.No-drill installation using 3M double face tape.Requires prepping, priming, and painting prior to installation.Whether sedans, trucks, sport compacts or domestic muscle cars, 3dCarbon has created everything from body styling kits and accessories. These highly artistic creations have taken cosmetic customization to a whole new level. Durability, unmatched design, and elite materials best describe 3dCarbon products. with 3-year or 36,000 mile 3dcarbon limited warranty	Chevrolet > Camaro > 2011 > 3DC691803	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/3dCarbon/Rear_Skirt/3DC691803.html	http://www.carparts.com/details/3dCarbon/Rear_Skirt/3DC691803.html?source=iraff		3dCarbon, Rear Skirt, 3DC691803, Rear Skirt, 3dCarbon	http://imgs.cpsimg.com/is/image/Autos/3dc691803_is			in stock	104.30 USD	3dCarbon	691803	unpainted	plastic	US::Ground:7.00 USD	0.00 lb	Y	N								Accessory								Unsold	Drop Ship			2010	2011	Branded				Rear Skirt	direct fit	3DC691803		No	203.5 USD	 3dCarbon Rear, Driver Side Rear Skirt-unpainted, Plastic	3DCARBON LOWER SKIRTMade of flexible, high-pressure injected polyurethaneGives an extra aggressive look for your vehicleNo-drill installation using 3M double face tapeRequires prepping, priming, and painting prior to installationWhether sedans, trucks, sport compacts or domestic muscle cars, 3dCarbon has created everything from body styling kits and accessories. These highly artistic creations have taken cosmetic customization to a whole new level. Durability, unmatched design, and elite materials best describe 3dCarbon products.	cp69ReSk3d	Accessory	Auto Body Styling & Accessories	0.00	68.45	7.93	127.12	3dCarbon 691803 Rear Skirt - Direct fit
3dCarbon+3DC691804	Buy Your 3dcarbon Rear Skirt Plastic Unpainted, 3-year Or 36,000 Mile 3dcarbon Limited Warranty 691804	3dCarbon 691804 car 3dCarbon. Rear Skirt. New direct fit plastic unpainted, 3DCARBON LOWER SKIRT.Made of flexible, high-pressure injected polyurethane.Gives an extra aggressive look for your vehicle.No-drill installation using 3M double face tape.Requires prepping, priming, and painting prior to installation.Whether sedans, trucks, sport compacts or domestic muscle cars, 3dCarbon has created everything from body styling kits and accessories. These highly artistic creations have taken cosmetic customization to a whole new level. Durability, unmatched design, and elite materials best describe 3dCarbon products. with 3-year or 36,000 mile 3dcarbon limited warranty	Chevrolet > Camaro > 2011 > 3DC691804	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/3dCarbon/Rear_Skirt/3DC691804.html	http://www.carparts.com/details/3dCarbon/Rear_Skirt/3DC691804.html?source=iraff		3dCarbon, Rear Skirt, 3DC691804, Rear Skirt, 3dCarbon	http://imgs.cpsimg.com/is/image/Autos/3dc691804_is			in stock	104.30 USD	3dCarbon	691804	unpainted	plastic	US::Ground:7.00 USD	0.00 lb	Y	N								Accessory								Unsold	Drop Ship			2010	2011	Branded				Rear Skirt	direct fit	3DC691804		No	203.5 USD	 3dCarbon Rear, Passenger Side Rear Skirt-unpainted, Plastic	3DCARBON LOWER SKIRTMade of flexible, high-pressure injected polyurethaneGives an extra aggressive look for your vehicleNo-drill installation using 3M double face tapeRequires prepping, priming, and painting prior to installationWhether sedans, trucks, sport compacts or domestic muscle cars, 3dCarbon has created everything from body styling kits and accessories. These highly artistic creations have taken cosmetic customization to a whole new level. Durability, unmatched design, and elite materials best describe 3dCarbon products.	cp69ReSk3d	Accessory	Auto Body Styling & Accessories	0.00	68.45	7.93	127.12	3dCarbon 691804 Rear Skirt - Direct fit
3dCarbon+3DC691805	Buy Your 3dcarbon Spoiler Plastic Unpainted 691805	3dCarbon 691805 car 3dCarbon. Spoiler. New direct fit plastic unpainted, 3DCARBON DECK LID SPOILER.Made of flexible, high-pressure injected polyurethane.Gives an extra aggressive look for your vehicle.No-drill installation using 3M double face tape and screws.Requires prepping, priming, and painting prior to installation.Flush mount.Whether sedans, trucks, sport compacts or domestic muscle cars, 3dCarbon has created everything from body styling kits and accessories. These highly artistic creations have taken cosmetic customization to a whole new level. Durability, unmatched design, and elite materials best describe 3dCarbon products.	Chevrolet > Camaro > 2011 > 3DC691805	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Exterior > Spoilers	http://www.carparts.com/details/3dCarbon/Spoiler/3DC691805.html	http://www.carparts.com/details/3dCarbon/Spoiler/3DC691805.html?source=iraff		3dCarbon, Spoiler, 3DC691805, Spoiler, 3dCarbon	http://imgs.cpsimg.com/is/image/Autos/3dc691805_is			in stock	173.84 USD	3dCarbon	691805	unpainted	plastic	US::Ground:7.00 USD	0.00 lb	Y	N								Accessory								Unsold	Drop Ship			2010	2011	Branded				Spoiler	direct fit	3DC691805		No	139.53 USD	 3dCarbon Spoiler-unpainted, Plastic	3DCARBON DECK LID SPOILERMade of flexible, high-pressure injected polyurethaneGives an extra aggressive look for your vehicleNo-drill installation using 3M double face tape and screwsRequires prepping, priming, and painting prior to installationFlush mountWhether sedans, trucks, sport compacts or domestic muscle cars, 3dCarbon has created everything from body styling kits and accessories. These highly artistic creations have taken cosmetic customization to a whole new level. Durability, unmatched design, and elite materials best describe 3dCarbon products.	cp69Sp3d	Accessory|Auto Body Parts|Most Popular	Auto Body Styling & Accessories	3.99	114.08	11.48	13.97	3dCarbon 691805 Spoiler - Unpainted, Plastic, Direct fit
3dCarbon+3DC691800	Buy Your 3dcarbon Valance Plastic Textured, 3-year Or 36,000 Mile 3dcarbon Limited Warranty 691800	3dCarbon 691800 car 3dCarbon. Valance. New direct fit plastic textured, custom look, may require minor modifications with 3-year or 36,000 mile 3dcarbon limited warranty	Chevrolet > Camaro > 2011 > 3DC691800	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/3dCarbon/Valance/3DC691800.html	http://www.carparts.com/details/3dCarbon/Valance/3DC691800.html?source=iraff		3dCarbon, Valance, 3DC691800, Valance, 3dCarbon	http://imgs.cpsimg.com/is/image/Autos/3dc691800_is			in stock	208.61 USD	3dCarbon	691800	textured	plastic	US::Ground:7.00 USD	0.00 lb	Y	N								Accessory								Unsold	Drop Ship			2010	2011	Branded				Valance	direct fit	3DC691800		No	168.81 USD	 3dCarbon Front Valance-textured, Plastic	custom look, may require minor modifications	cp69Va3d	Accessory	Bumpers & Components	65.00	136.90	13.25	18.66	3dCarbon Valance - 691800 - Front, Performance
3dCarbon+3DC691808	Buy Your 3dcarbon Body Kit Plastic, 3-year Or 36,000 Mile 3dcarbon Limited Warranty 691808	3dCarbon 691808 car 3dCarbon. Body Kit. New direct fit plastic 3D CARBON CAMARO SERIES STYLE KIT.Made of flexible, high pressure injected polyurethane.Requires prepping, priming, and painting prior to installation.Includes front air dam, right and left side skirts, and right and left rear lower spats.Transform your car into an aggressive, aerodynamic muscle car that's guaranteed to turn some heads. With several accessories that may be purchased separately, including front fender vents, rear window trim and a rear spoiler. Superior to other body kits you'll see from any body kit manufacturer. with 3-year or 36,000 mile 3dcarbon limited warranty	Chevrolet > Camaro > 2011 > 3DC691808	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Exterior > Motor Vehicle Body Kits	http://www.carparts.com/details/3dCarbon/Body_Kit/3DC691808.html	http://www.carparts.com/details/3dCarbon/Body_Kit/3DC691808.html?source=iraff		3dCarbon, Body Kit, 3DC691808, Body Kit, 3dCarbon	http://imgs.cpsimg.com/is/image/Autos/3dc691808_is			in stock	592.75 USD	3dCarbon	691808		plastic	US::Ground:7.00 USD	0.00 lb	Y	N								Accessory								Unsold	Drop Ship			2010	2011	Branded				Body Kit	direct fit	3DC691808		No	449.87 USD	 3dCarbon Body Kit-plastic	3D CARBON CAMARO SERIES STYLE KITMade of flexible, high pressure injected polyurethaneRequires prepping, priming, and painting prior to installationIncludes front air dam, right and left side skirts, and right and left rear lower spatsTransform your car into an aggressive, aerodynamic muscle car that's guaranteed to turn some heads. With several accessories that may be purchased separately, including front fender vents, rear window trim and a rear spoiler. Superior to other body kits you'll see from any body kit manufacturer.	cp69BoKi3d	Accessory	Auto Body Styling & Accessories	65.00	388.99	32.84	28.04	3dCarbon 691808 Body Kit - Plastic, Direct fit
3dCarbon+3DC691809	Buy Your 3dcarbon Body Kit Plastic, 3-year Or 36,000 Mile 3dcarbon Limited Warranty 691809	3dCarbon 691809 car 3dCarbon. Body Kit. New direct fit plastic 3D CARBON CAMARO SERIES STYLE KIT.Made of flexible, high pressure injected polyurethane.Requires prepping, priming, and painting prior to installation.Includes front air dam, right and left side skirts, right and left rear lower spats, and rear deck lid spoiler.Transform your car into an aggressive, aerodynamic muscle car that's guaranteed to turn some heads. With several accessories that may be purchased separately, including front fender vents, rear window trim and a rear spoiler. Superior to other body kits you'll see from any body kit manufacturer. with 3-year or 36,000 mile 3dcarbon limited warranty	Chevrolet > Camaro > 2011 > 3DC691809	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Exterior > Motor Vehicle Body Kits	http://www.carparts.com/details/3dCarbon/Body_Kit/3DC691809.html	http://www.carparts.com/details/3dCarbon/Body_Kit/3DC691809.html?source=iraff		3dCarbon, Body Kit, 3DC691809, Body Kit, 3dCarbon	http://imgs.cpsimg.com/is/image/Autos/3dc691809_is			in stock	685.18 USD	3dCarbon	691809		plastic	US::Ground:7.00 USD	0.00 lb	Y	N								Accessory								Unsold	Drop Ship			2010	2011	Branded				Body Kit	direct fit	3DC691809		No	515.24 USD	 3dCarbon Body Kit-plastic	3D CARBON CAMARO SERIES STYLE KITMade of flexible, high pressure injected polyurethaneRequires prepping, priming, and painting prior to installationIncludes front air dam, right and left side skirts, right and left rear lower spats, and rear deck lid spoilerTransform your car into an aggressive, aerodynamic muscle car that's guaranteed to turn some heads. With several accessories that may be purchased separately, including front fender vents, rear window trim and a rear spoiler. Superior to other body kits you'll see from any body kit manufacturer.	cp69BoKi3d	Accessory	Auto Body Styling & Accessories	65.00	449.65	37.55	28.04	3dCarbon 691809 Body Kit - Plastic, Direct fit
3dCarbon+3DC691810	Buy Your 3dcarbon Body Kit Plastic, 3-year Or 36,000 Mile 3dcarbon Limited Warranty 691810	3dCarbon 691810 car 3dCarbon. Body Kit. New direct fit plastic 3D CARBON CAMARO SERIES STYLE KIT.Made of flexible, high pressure injected polyurethane.Requires prepping, priming, and painting prior to installation.Includes front air dam, right and left side skirts, right and left rear lower spats, rear deck lid spoiler, and rear window U-trim.Transform your car into an aggressive, aerodynamic muscle car that's guaranteed to turn some heads. With several accessories that may be purchased separately, including front fender vents, rear window trim and a rear spoiler. Superior to other body kits you'll see from any body kit manufacturer. with 3-year or 36,000 mile 3dcarbon limited warranty	Chevrolet > Camaro > 2011 > 3DC691810	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Exterior > Motor Vehicle Body Kits	http://www.carparts.com/details/3dCarbon/Body_Kit/3DC691810.html	http://www.carparts.com/details/3dCarbon/Body_Kit/3DC691810.html?source=iraff		3dCarbon, Body Kit, 3DC691810, Body Kit, 3dCarbon	http://imgs.cpsimg.com/is/image/Autos/3dc691810_is			in stock	875.98 USD	3dCarbon	691810		plastic	US::Ground:7.00 USD	0.00 lb	Y	N								Accessory								Unsold	Drop Ship			2010	2011	Branded				Body Kit	direct fit	3DC691810		No	650.18 USD	 3dCarbon Body Kit-plastic	3D CARBON CAMARO SERIES STYLE KITMade of flexible, high pressure injected polyurethaneRequires prepping, priming, and painting prior to installationIncludes front air dam, right and left side skirts, right and left rear lower spats, rear deck lid spoiler, and rear window U-trimTransform your car into an aggressive, aerodynamic muscle car that's guaranteed to turn some heads. With several accessories that may be purchased separately, including front fender vents, rear window trim and a rear spoiler. Superior to other body kits you'll see from any body kit manufacturer.	cp69BoKi3d	Accessory	Auto Body Styling & Accessories	65.00	574.86	47.28	28.04	3dCarbon 691810 Body Kit - Plastic, Direct fit
3dCarbon+3DC691811	Buy Your 3dcarbon Body Kit Plastic, 3-year Or 36,000 Mile 3dcarbon Limited Warranty 691811	3dCarbon 691811 car 3dCarbon. Body Kit. New direct fit plastic 3D CARBON CAMARO SERIES STYLE KIT.Made of flexible, high pressure injected polyurethane.Requires prepping, priming, and painting prior to installation.Includes front air dam, right and left side skirts, right and left rear lower spats, rear deck lid spoiler, rear window U-trim, and front fender vents.Transform your car into an aggressive, aerodynamic muscle car that's guaranteed to turn some heads. With several accessories that may be purchased separately, including front fender vents, rear window trim and a rear spoiler. Superior to other body kits you'll see from any body kit manufacturer. with 3-year or 36,000 mile 3dcarbon limited warranty	Chevrolet > Camaro > 2011 > 3DC691811	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Exterior > Motor Vehicle Body Kits	http://www.carparts.com/details/3dCarbon/Body_Kit/3DC691811.html	http://www.carparts.com/details/3dCarbon/Body_Kit/3DC691811.html?source=iraff		3dCarbon, Body Kit, 3DC691811, Body Kit, 3dCarbon	http://imgs.cpsimg.com/is/image/Autos/3dc691811_is			in stock	1057.46 USD	3dCarbon	691811		plastic	US::Ground:7.00 USD	0.00 lb	Y	N								Accessory								Unsold	Drop Ship			2010	2011	Branded				Body Kit	direct fit	3DC691811		No	778.54 USD	 3dCarbon Body Kit-plastic	3D CARBON CAMARO SERIES STYLE KITMade of flexible, high pressure injected polyurethaneRequires prepping, priming, and painting prior to installationIncludes front air dam, right and left side skirts, right and left rear lower spats, rear deck lid spoiler, rear window U-trim, and front fender ventsTransform your car into an aggressive, aerodynamic muscle car that's guaranteed to turn some heads. With several accessories that may be purchased separately, including front fender vents, rear window trim and a rear spoiler. Superior to other body kits you'll see from any body kit manufacturer.	cp69BoKi3d	Accessory	Auto Body Styling & Accessories	65.00	693.96	56.54	28.04	3dCarbon 691811 Body Kit - Plastic, Direct fit
