id	title	description	link	price	brand	condition	image_link	additional_image_link	mpn	shipping_weight	color	google_product_category	product_type	c:part:string	c:part_year:string	c:part_make:string	c:part_model:string	c:engine:string	c:category:string	c:part_name:string	c:vehicle1:string	c:vehicle2:string	c:vehicle3:string	c:vehicle4:string	material	pattern	shipping	online_only	availability	c:productseries1:string	c:productseries2:string	adwords_redirect	adwords_grouping	adwords_labels	identifier_exists	gtin	custom_label_0	custom_label_1	custom_label_2	custom_label_3	Fit Note	Year Min	Year Max	Brand Type	Design	Series	Submodel	Operation	Location	Product Fit	SKU	Warranty	Emissions	Sales	c:cost_of_goods_sold:decimal	Title LP	Product Details	Old ID	Category	Subcategory
AFE+A152140035	AFE Universal Air Filter synthetic	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter	http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152140035-.aspx	62.95 USD	AFE	new	http://cdn.stylincdn.com/is/image/Autos/a152140035_is		21-40035	2.00 lb		Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	Universal Air Filter > Universal > Universal > Universal > A152140035						Air Filters	Universal Air Filter				Replacement Universal Air Filter, Universal Air Filter Parts	synthetic		US::Ground:11.99 USD	Y	in stock			http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152140035-.aspx?scid=iraff				802959210093		Unsold	Stock Ship					Branded		afe power magnumflow pro dry s				universal	A152140035	2-year afe limited warranty		No	61.71 USD	Universal- AFE Universal Air Filterafe Power Magnumflow Pro Dry S-synthetic, Washable	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter		Accessory	Air Filters & Intake Systems
AFE+A152140507	AFE Universal Air Filter synthetic	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter	http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152140507-.aspx	56.95 USD	AFE	new	http://cdn.stylincdn.com/is/image/Autos/a152140507_is		21-40507	3.00 lb		Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	Universal Air Filter > Universal > Universal > Universal > A152140507						Air Filters	Universal Air Filter				Replacement Universal Air Filter, Universal Air Filter Parts	synthetic		US::Ground:11.99 USD	Y	in stock			http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152140507-.aspx?scid=iraff				802959210529		Unsold	Stock Ship					Branded		afe power magnumflow pro dry s				universal	A152140507	2-year afe limited warranty		No	57 USD	Universal- AFE Universal Air Filterafe Power Magnumflow Pro Dry S-synthetic, Washable	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter		Accessory	Air Filters & Intake Systems
AFE+A152190008	AFE Universal Air Filter synthetic	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter	http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152190008-.aspx	66.95 USD	AFE	new	http://cdn.stylincdn.com/is/image/Autos/a152190008_is		21-90008	3.00 lb		Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	Universal Air Filter > Universal > Universal > Universal > A152190008						Air Filters	Universal Air Filter				Replacement Universal Air Filter, Universal Air Filter Parts	synthetic		US::Ground:11.99 USD	Y	in stock			http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152190008-.aspx?scid=iraff				802959210215		Unsold	Stock Ship					Branded		afe power magnumflow pro dry s				universal	A152190008	2-year afe limited warranty		No	64.86 USD	Universal- AFE Universal Air Filterafe Power Magnumflow Pro Dry S-synthetic, Washable	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter		Accessory	Air Filters & Intake Systems
AFE+A152190010	AFE Universal Air Filter synthetic	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter	http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152190010-.aspx	82.95 USD	AFE	new	http://cdn.stylincdn.com/is/image/Autos/a152190010_is		21-90010	3.00 lb		Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	Universal Air Filter > Universal > Universal > Universal > A152190010						Air Filters	Universal Air Filter				Replacement Universal Air Filter, Universal Air Filter Parts	synthetic		US::Ground:14.99 USD	Y	in stock			http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152190010-.aspx?scid=iraff				802959210222		Unsold	Stock Ship					Branded		afe power magnumflow pro dry s				universal	A152190010	2-year afe limited warranty		No	77.44 USD	Universal- AFE Universal Air Filterafe Power Magnumflow Pro Dry S-synthetic, Washable	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter		Accessory	Air Filters & Intake Systems
AFE+A152190020	AFE Universal Air Filter synthetic	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter	http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152190020-.aspx	77.95 USD	AFE	new	http://cdn.stylincdn.com/is/image/Autos/a152190020_is		21-90020	4.00 lb		Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	Universal Air Filter > Universal > Universal > Universal > A152190020						Air Filters	Universal Air Filter				Replacement Universal Air Filter, Universal Air Filter Parts	synthetic		US::Ground:14.99 USD	Y	in stock			http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152190020-.aspx?scid=iraff				802959210253		Slow	Stock Ship					Branded		afe power magnumflow pro dry s				universal	A152190020	2-year afe limited warranty		No	73.51 USD	Universal- AFE Universal Air Filterafe Power Magnumflow Pro Dry S-synthetic, Washable	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter		Accessory	Air Filters & Intake Systems
AFE+A152190044	AFE Universal Air Filter synthetic	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter	http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152190044-.aspx	61.95 USD	AFE	new	http://cdn.stylincdn.com/is/image/Autos/a152190044_is		21-90044	4.00 lb		Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	Universal Air Filter > Universal > Universal > Universal > A152190044						Air Filters	Universal Air Filter				Replacement Universal Air Filter, Universal Air Filter Parts	synthetic		US::Ground:11.99 USD	Y	in stock			http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90405/universalafea152190044-.aspx?scid=iraff				802959210444		Unsold	Stock Ship					Branded		afe power magnumflow pro dry s				universal	A152190044	2-year afe limited warranty		No	60.93 USD	Universal- AFE Universal Air Filterafe Power Magnumflow Pro Dry S-synthetic, Washable	AFE POWER MAGNUMFLOW PRO DRY S UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro Dry S Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Your Ride's Horsepower Output, Plus They Require No Oil So They're Super Easy To Clean. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Precision-formed With 2 Layers Of Progressively Finer Mesh Synthetic Compounds For Ultimate EffectivenessDelivers Colossal Gains In Airflow, Horsepower And TorqueBuilt-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean, No-oil Performance Filter		Accessory	Air Filters & Intake Systems
AFE+A152435008	AFE Universal Air Filter cotton gauze	AFE POWER MAGNUMFLOW PRO 5R UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro 5R Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Â your Ride's Horsepower Output. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Delivers Colossal Gains In Airflow, Horsepower And TorquePrecision-formed With 5 Layers Of Progressive Finer Mesh Cotton Gauze For 98.6% EffectivenessSynthetic Filter Fiber Compound And Built-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean Oiled Performance Filter	http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90404/universalafea152435008-.aspx	62.95 USD	AFE	new	http://cdn.stylincdn.com/is/image/Autos/a152435008_is		24-35008	3.00 lb		Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	Universal Air Filter > Universal > Universal > Universal > A152435008						Air Filters	Universal Air Filter				Replacement Universal Air Filter, Universal Air Filter Parts	cotton gauze		US::Ground:11.99 USD	Y	in stock			http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90404/universalafea152435008-.aspx?scid=iraff				802959240793		Unsold	Stock Ship					Branded		afe power magnumflow pro 5r				universal	A152435008	2-year afe limited warranty		No	61.71 USD	Universal- AFE Universal Air Filterafe Power Magnumflow Pro 5r-cotton Gauze, Washable	AFE POWER MAGNUMFLOW PRO 5R UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro 5R Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Â your Ride's Horsepower Output. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Delivers Colossal Gains In Airflow, Horsepower And TorquePrecision-formed With 5 Layers Of Progressive Finer Mesh Cotton Gauze For 98.6% EffectivenessSynthetic Filter Fiber Compound And Built-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean Oiled Performance Filter		Accessory	Air Filters & Intake Systems
AFE+A152435035	AFE Universal Air Filter cotton gauze	AFE POWER MAGNUMFLOW PRO 5R UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro 5R Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Â your Ride's Horsepower Output. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Delivers Colossal Gains In Airflow, Horsepower And TorquePrecision-formed With 5 Layers Of Progressive Finer Mesh Cotton Gauze For 98.6% EffectivenessSynthetic Filter Fiber Compound And Built-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean Oiled Performance Filter	http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90404/universalafea152435035-.aspx	62.95 USD	AFE	new	http://cdn.stylincdn.com/is/image/Autos/a152435035_is		24-35035	4.00 lb		Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	Universal Air Filter > Universal > Universal > Universal > A152435035						Air Filters	Universal Air Filter				Replacement Universal Air Filter, Universal Air Filter Parts	cotton gauze		US::Ground:11.99 USD	Y	in stock			http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90404/universalafea152435035-.aspx?scid=iraff				802959240830		Unsold	Stock Ship					Branded		afe power magnumflow pro 5r				universal	A152435035	2-year afe limited warranty		No	61.71 USD	Universal- AFE Universal Air Filterafe Power Magnumflow Pro 5r-cotton Gauze, Washable	AFE POWER MAGNUMFLOW PRO 5R UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro 5R Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Â your Ride's Horsepower Output. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Delivers Colossal Gains In Airflow, Horsepower And TorquePrecision-formed With 5 Layers Of Progressive Finer Mesh Cotton Gauze For 98.6% EffectivenessSynthetic Filter Fiber Compound And Built-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean Oiled Performance Filter		Accessory	Air Filters & Intake Systems
AFE+A152440011	AFE Universal Air Filter cotton gauze	AFE POWER MAGNUMFLOW PRO 5R UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro 5R Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Â your Ride's Horsepower Output. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Delivers Colossal Gains In Airflow, Horsepower And TorquePrecision-formed With 5 Layers Of Progressive Finer Mesh Cotton Gauze For 98.6% EffectivenessSynthetic Filter Fiber Compound And Built-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean Oiled Performance Filter	http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90404/universalafea152440011-.aspx	56.95 USD	AFE	new	http://cdn.stylincdn.com/is/image/Autos/a152440011_is		24-40011	3.00 lb		Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	Universal Air Filter > Universal > Universal > Universal > A152440011						Air Filters	Universal Air Filter				Replacement Universal Air Filter, Universal Air Filter Parts	cotton gauze		US::Ground:11.99 USD	Y	in stock			http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90404/universalafea152440011-.aspx?scid=iraff				802959240861		Unsold	Stock Ship					Branded		afe power magnumflow pro 5r				universal	A152440011	2-year afe limited warranty		No	57 USD	Universal- AFE Universal Air Filterafe Power Magnumflow Pro 5r-cotton Gauze, Washable	AFE POWER MAGNUMFLOW PRO 5R UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro 5R Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Â your Ride's Horsepower Output. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Delivers Colossal Gains In Airflow, Horsepower And TorquePrecision-formed With 5 Layers Of Progressive Finer Mesh Cotton Gauze For 98.6% EffectivenessSynthetic Filter Fiber Compound And Built-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean Oiled Performance Filter		Accessory	Air Filters & Intake Systems
AFE+A152440035	AFE Universal Air Filter cotton gauze	AFE POWER MAGNUMFLOW PRO 5R UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro 5R Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Â your Ride's Horsepower Output. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Delivers Colossal Gains In Airflow, Horsepower And TorquePrecision-formed With 5 Layers Of Progressive Finer Mesh Cotton Gauze For 98.6% EffectivenessSynthetic Filter Fiber Compound And Built-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean Oiled Performance Filter	http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90404/universalafea152440035-.aspx	62.95 USD	AFE	new	http://cdn.stylincdn.com/is/image/Autos/a152440035_is		24-40035	2.00 lb		Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts	Universal Air Filter > Universal > Universal > Universal > A152440035						Air Filters	Universal Air Filter				Replacement Universal Air Filter, Universal Air Filter Parts	cotton gauze		US::Ground:11.99 USD	Y	in stock			http://www.stylintrucks.com/parts/afe_universal_universal_air_filter/AFEUN90404/universalafea152440035-.aspx?scid=iraff				802959240144		Unsold	Stock Ship					Branded		afe power magnumflow pro 5r				universal	A152440035	2-year afe limited warranty		No	55.79 USD	Universal- AFE Universal Air Filterafe Power Magnumflow Pro 5r-cotton Gauze, Washable	AFE POWER MAGNUMFLOW PRO 5R UNIVERSAL AIR FILTERSWhen Most People Think Of Top-of-the-line Performance Air Filters, AFe Comes To Mind. AFe Power's MagnumFLOW Pro 5R Universal Air Filters Will Last Longer Than Any Factory Paper Filter Out There And Are Guaranteed To Boost Â your Ride's Horsepower Output. Started In 1999, AFe Power Is Known For Its Innovative Design And Manufacturing Standards With Regard To Filters And Cold Air Intakes For Most Road-going Vehicles.Delivers Colossal Gains In Airflow, Horsepower And TorquePrecision-formed With 5 Layers Of Progressive Finer Mesh Cotton Gauze For 98.6% EffectivenessSynthetic Filter Fiber Compound And Built-in Urethane Seal For Firm, No-leak ProtectionLonger Cleaning Intervals Than Paper FiltersUniversal FitmentWashable And Reusable, Easy-to-clean Oiled Performance Filter		Accessory	Air Filters & Intake Systems
