USAP Part Name	Taxonomy
Air Bypass Valve	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Valves & Valve Parts
Air Distribution Hose	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Distribution Hose Connector	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Duct Hose	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Duct Housing	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Duct Motor	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Cleaner Adapter	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Cleaner Assembly	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Cleaner Bracket	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Cleaner Mount	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Cleaner Mount Gasket	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Engine Parts > Vehicle Engine Gaskets
Air Cleaner Spacer	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Cleaner Stud	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Cleaner Top	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Filter	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts > Vehicle Air Filters
Air Filter Cleaner	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Fitting	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Intake Duct	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Snorkel	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Bimetallic Valve	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Valves & Valve Parts
Breather Connector	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Breather O-Ring	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Breather Hose	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Breather Hose Connector	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Breather Hose Grommet	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
Air Intake Insulation	Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Air Intake Parts
