id	title	description	product_type	google_product_category	link	adwords_redirect	adwords_grouping	adwords_labels	image_link	additional_image_link	condition	availability	price	brand	mpn	color	material	shipping	shipping_weight	online_only	c:GoogleAffiliateNetworkPublish:boolean	c:GoogleAffiliateNetworkProductURL:url	c:vehicle_year:string	c:vehicle_make:string	c:vehicle_model:string	c:vehicle_submodel:string	c:part_name:string	c:vehicle_engine:string	c:product_category:string	c:product_location:string	c:product_notes:string	c:product_catalog_type:string	c:product_name:string	c:product_name1:string	c:warranty_notes:string	custom_label_0	custom_label_1	custom_label_2	custom_label_3	Fit_Note	Year_Min	Year_Max	Brand_Type	Design	Series	Operation	Part_Name	Product_Fit	SKU	Emissions	Sales	c:cost_of_goods_sold:decimal	Title LP	Product Details	Old ID	Category	Subcategory	Extra Shipping Charge	Est Cost	Variable Cost	Shipping Cost	SKU Title	shipping revenue 1	handling revenue 1	channelized VC	gtin	shipping revenue 2
08072db2382fbce013a4b5a6f790c967	Buy Your 1990 Acura Integra Curt Hitch powdercoated black fixed draw bar lifetime curt limited warranty with 1-year warranty on finish 11143   	1990 Acura Integra Hitch; Curt Acura Hitch Manufactured For Integra. Lifetime Curt Limited Warranty With 1-year Warranty On Finish. This Curt Hitch Is Built For 90 Acura Integra	Hitch > Acura > Integra > 1990 > CUR11143	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1990/CUR11143.html	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1990/CUR11143.html?TID=gglpla&origin={adtype}			http://imgs.cpsimg.com/is/image/Autos/cur11143_is		New	In Stock	81.17 USD	Curt	11143	powdercoated black		US::Ground:0 USD	0.00 lbs 	Y			1990	Acura	Integra		Hitch		Accessory	Rear	includes all necessary hardware	Performance/Accessory	1990 Acura Integra Hitch	Curt 1990 Acura Hitch	lifetime curt limited warranty with 1-year warranty on finish		Unsold	Stock Ship			1990	1991	Branded				Hitch				No	84.78 USD	 Curt Rear Hitch-powdercoated Black, Fixed Draw Bar	Includes All Necessary Hardware	08072db2382fbce013a4b5a6f790c967	Accessory	Hitches, Winches & Trailers	0.00	69.72	4.16	10.90	Curt 11143 Not Applicable Receiver Hitch With Flat Bar Concealed Cross Tube - Class I - Up To 2500 lbs.	0.00	0.00	3.47	612314111435	
0c28a01d3fe48ffbc314b428e867bcfd	Buy Your 1991 Acura Integra Curt Hitch powdercoated black fixed draw bar lifetime curt limited warranty with 1-year warranty on finish 11143   	1991 Acura Integra Hitch; Curt Acura Hitch Manufactured For Integra. Lifetime Curt Limited Warranty With 1-year Warranty On Finish. This Curt Hitch Is Built For 91 Acura Integra	Hitch > Acura > Integra > 1991 > CUR11143	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1991/CUR11143.html	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1991/CUR11143.html?TID=gglpla&origin={adtype}			http://imgs.cpsimg.com/is/image/Autos/cur11143_is		New	In Stock	81.17 USD	Curt	11143	powdercoated black		US::Ground:0 USD	0.00 lbs 	Y			1991	Acura	Integra		Hitch		Accessory	Rear	includes all necessary hardware	Performance/Accessory	1991 Acura Integra Hitch	Curt 1991 Acura Hitch	lifetime curt limited warranty with 1-year warranty on finish		Unsold	Stock Ship			1990	1991	Branded				Hitch				No	84.78 USD	 Curt Rear Hitch-powdercoated Black, Fixed Draw Bar	Includes All Necessary Hardware	0c28a01d3fe48ffbc314b428e867bcfd	Accessory	Hitches, Winches & Trailers	0.00	69.72	4.16	10.90	Curt 11143 Not Applicable Receiver Hitch With Flat Bar Concealed Cross Tube - Class I - Up To 2500 lbs.	0.00	0.00	3.47	612314111435	
c5c722336b31d2656c04a98bdc2962f6	Buy Your 1992 Acura Integra Curt Hitch powdercoated black fixed draw bar lifetime curt limited warranty with 1-year warranty on finish 11143   	1992 Acura Integra Hitch; Curt Acura Hitch Manufactured For Integra. Lifetime Curt Limited Warranty With 1-year Warranty On Finish. This Curt Hitch Is Built For 92 Acura Integra	Hitch > Acura > Integra > 1992 > CUR11143	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1992/CUR11143.html	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1992/CUR11143.html?TID=gglpla&origin={adtype}			http://imgs.cpsimg.com/is/image/Autos/cur11143_is		New	In Stock	81.17 USD	Curt	11143	powdercoated black		US::Ground:0 USD	0.00 lbs 	Y			1992	Acura	Integra		Hitch		Accessory	Rear	includes all necessary hardware	Performance/Accessory	1992 Acura Integra Hitch	Curt 1992 Acura Hitch	lifetime curt limited warranty with 1-year warranty on finish		Unsold	Stock Ship			1992	1993	Branded				Hitch				No	84.78 USD	 Curt Rear Hitch-powdercoated Black, Fixed Draw Bar	Includes All Necessary Hardware	c5c722336b31d2656c04a98bdc2962f6	Accessory	Hitches, Winches & Trailers	0.00	69.72	4.16	10.90	Curt 11143 Not Applicable Receiver Hitch With Flat Bar Concealed Cross Tube - Class I - Up To 2500 lbs.	0.00	0.00	3.47	612314111435	
9f42c36b6449531911041840c58df32f	Buy Your 1993 Acura Integra Curt Hitch powdercoated black fixed draw bar lifetime curt limited warranty with 1-year warranty on finish 11143   	1993 Acura Integra Hitch; Curt Acura Hitch Manufactured For Integra. Lifetime Curt Limited Warranty With 1-year Warranty On Finish. This Curt Hitch Is Built For 93 Acura Integra	Hitch > Acura > Integra > 1993 > CUR11143	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1993/CUR11143.html	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1993/CUR11143.html?TID=gglpla&origin={adtype}			http://imgs.cpsimg.com/is/image/Autos/cur11143_is		New	In Stock	81.17 USD	Curt	11143	powdercoated black		US::Ground:0 USD	0.00 lbs 	Y			1993	Acura	Integra		Hitch		Accessory	Rear	includes all necessary hardware	Performance/Accessory	1993 Acura Integra Hitch	Curt 1993 Acura Hitch	lifetime curt limited warranty with 1-year warranty on finish		Unsold	Stock Ship			1992	1993	Branded				Hitch				No	84.78 USD	 Curt Rear Hitch-powdercoated Black, Fixed Draw Bar	Includes All Necessary Hardware	9f42c36b6449531911041840c58df32f	Accessory	Hitches, Winches & Trailers	0.00	69.72	4.16	10.90	Curt 11143 Not Applicable Receiver Hitch With Flat Bar Concealed Cross Tube - Class I - Up To 2500 lbs.	0.00	0.00	3.47	612314111435	
61c5680d2cd98ffb4c6f432512058df8	Buy Your 1992 Acura Integra Curt Hitch powdercoated black receiver lifetime curt limited warranty with 1-year warranty on finish 11145   	1992 Acura Integra Hitch; Curt Acura Hitch Manufactured For Integra. Lifetime Curt Limited Warranty With 1-year Warranty On Finish. This Curt Hitch Is Built For 92 Acura Integra	Hitch > Acura > Integra > 1992 > CUR11145	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1992/CUR11145.html	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1992/CUR11145.html?TID=gglpla&origin={adtype}			http://imgs.cpsimg.com/is/image/Autos/cur11145_is		New	In Stock	108.41 USD	Curt	11145	powdercoated black		US::Ground:0 USD	0.00 lbs 	Y			1992	Acura	Integra		Hitch		Accessory	Rear	with pin and clip; ball and ball mount sold separately	Performance/Accessory	1992 Acura Integra Hitch	Curt 1992 Acura Hitch	lifetime curt limited warranty with 1-year warranty on finish		Unsold	Stock Ship			1992	1993	Branded				Hitch				No	108.32 USD	 Curt Rear Hitch-powdercoated Black, Receiver	With Pin And Clip; Ball And Ball Mount Sold Separately	61c5680d2cd98ffb4c6f432512058df8	Accessory	Hitches, Winches & Trailers	0.00	92.37	5.05	10.90	Curt 11145 1.25 in. Receiver Hitch With Flat Bar Concealed Cross Tube - Class I - Up To 2500 lbs.	0.00	0.00	4.30	612314009398	
fca9d8235fabc78c4958d8e0a0400bed	Buy Your 1993 Acura Integra Curt Hitch powdercoated black receiver lifetime curt limited warranty with 1-year warranty on finish 11145   	1993 Acura Integra Hitch; Curt Acura Hitch Manufactured For Integra. Lifetime Curt Limited Warranty With 1-year Warranty On Finish. This Curt Hitch Is Built For 93 Acura Integra	Hitch > Acura > Integra > 1993 > CUR11145	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1993/CUR11145.html	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1993/CUR11145.html?TID=gglpla&origin={adtype}			http://imgs.cpsimg.com/is/image/Autos/cur11145_is		New	In Stock	108.41 USD	Curt	11145	powdercoated black		US::Ground:0 USD	0.00 lbs 	Y			1993	Acura	Integra		Hitch		Accessory	Rear	with pin and clip; ball and ball mount sold separately	Performance/Accessory	1993 Acura Integra Hitch	Curt 1993 Acura Hitch	lifetime curt limited warranty with 1-year warranty on finish		Unsold	Stock Ship			1992	1993	Branded				Hitch				No	108.32 USD	 Curt Rear Hitch-powdercoated Black, Receiver	With Pin And Clip; Ball And Ball Mount Sold Separately	fca9d8235fabc78c4958d8e0a0400bed	Accessory	Hitches, Winches & Trailers	0.00	92.37	5.05	10.90	Curt 11145 1.25 in. Receiver Hitch With Flat Bar Concealed Cross Tube - Class I - Up To 2500 lbs.	0.00	0.00	4.30	612314009398	
9c87a43edcb098b9b63e2da3201cfc3e	Buy Your 1992 Acura Integra Curt Hitch powdercoated black receiver lifetime curt limited warranty with 1-year warranty on finish 11145   	1992 Acura Integra Hitch; Curt Acura Hitch Manufactured For Integra. Lifetime Curt Limited Warranty With 1-year Warranty On Finish. This Curt Hitch Is Built For 92 Acura Integra	Hitch > Acura > Integra > 1992 > CUR11145	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1992/CUR11145.html	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1992/CUR11145.html?TID=gglpla&origin={adtype}			http://imgs.cpsimg.com/is/image/Autos/cur11145_is		New	In Stock	108.41 USD	Curt	11145	powdercoated black		US::Ground:0 USD	0.00 lbs 	Y			1992	Acura	Integra		Hitch		Accessory	Rear	with pin and clip; ball and ball mount sold separately	Performance/Accessory	1992 Acura Integra Hitch	Curt 1992 Acura Hitch	lifetime curt limited warranty with 1-year warranty on finish		Unsold	Stock Ship			1992	1993	Branded				Hitch				No	108.32 USD	 Curt Rear Hitch-powdercoated Black, Receiver	With Pin And Clip; Ball And Ball Mount Sold Separately	9c87a43edcb098b9b63e2da3201cfc3e	Accessory	Hitches, Winches & Trailers	0.00	92.37	5.05	10.90	Curt 11145 1.25 in. Receiver Hitch With Flat Bar Concealed Cross Tube - Class I - Up To 2500 lbs.	0.00	0.00	4.30	612314009398	
9623734b305acfb649fabd93b47c82d5	Buy Your 1993 Acura Integra Curt Hitch powdercoated black receiver lifetime curt limited warranty with 1-year warranty on finish 11145   	1993 Acura Integra Hitch; Curt Acura Hitch Manufactured For Integra. Lifetime Curt Limited Warranty With 1-year Warranty On Finish. This Curt Hitch Is Built For 93 Acura Integra	Hitch > Acura > Integra > 1993 > CUR11145	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1993/CUR11145.html	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1993/CUR11145.html?TID=gglpla&origin={adtype}			http://imgs.cpsimg.com/is/image/Autos/cur11145_is		New	In Stock	108.41 USD	Curt	11145	powdercoated black		US::Ground:0 USD	0.00 lbs 	Y			1993	Acura	Integra		Hitch		Accessory	Rear	with pin and clip; ball and ball mount sold separately	Performance/Accessory	1993 Acura Integra Hitch	Curt 1993 Acura Hitch	lifetime curt limited warranty with 1-year warranty on finish		Unsold	Stock Ship			1992	1993	Branded				Hitch				No	108.32 USD	 Curt Rear Hitch-powdercoated Black, Receiver	With Pin And Clip; Ball And Ball Mount Sold Separately	9623734b305acfb649fabd93b47c82d5	Accessory	Hitches, Winches & Trailers	0.00	92.37	5.05	10.90	Curt 11145 1.25 in. Receiver Hitch With Flat Bar Concealed Cross Tube - Class I - Up To 2500 lbs.	0.00	0.00	4.30	612314009398	
a7c3b36ee89b9dff8da118b66f47eda3	Buy Your 1994 Acura Integra Curt Hitch powdercoated black receiver lifetime curt limited warranty with 1-year warranty on finish 11147   	1994 Acura Integra Hitch; Curt Acura Hitch Manufactured For Integra. Lifetime Curt Limited Warranty With 1-year Warranty On Finish. This Curt Hitch Is Built For 94 Acura Integra	Hitch > Acura > Integra > 1994 > CUR11147	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1994/CUR11147.html	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1994/CUR11147.html?TID=gglpla&origin={adtype}			http://imgs.cpsimg.com/is/image/Autos/cur11147_is		New	In Stock	97.18 USD	Curt	11147	powdercoated black		US::Ground:0 USD	0.00 lbs 	Y			1994	Acura	Integra		Hitch		Accessory	Rear	with pin and clip; ball and ball mount sold separately	Performance/Accessory	1994 Acura Integra Hitch	Curt 1994 Acura Hitch	lifetime curt limited warranty with 1-year warranty on finish		Unsold	Stock Ship			1994	2001	Branded				Hitch				No	98.19 USD	 Curt Rear Hitch-powdercoated Black, Receiver	With Pin And Clip; Ball And Ball Mount Sold Separately	a7c3b36ee89b9dff8da118b66f47eda3	Accessory	Hitches, Winches & Trailers	0.00	82.62	4.67	10.90	Curt 11147 1.25 in. Receiver Hitch With Flat Bar Concealed Cross Tube - Class I - Up To 2500 lbs.	0.00	0.00	3.95	612314010684	
18504fc62d918316b925c9a8514281d5	Buy Your 1995 Acura Integra Curt Hitch powdercoated black receiver lifetime curt limited warranty with 1-year warranty on finish 11147   	1995 Acura Integra Hitch; Curt Acura Hitch Manufactured For Integra. Lifetime Curt Limited Warranty With 1-year Warranty On Finish. This Curt Hitch Is Built For 95 Acura Integra	Hitch > Acura > Integra > 1995 > CUR11147	Vehicles & Parts > Vehicle Parts & Accessories	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1995/CUR11147.html	http://www.carparts.com/details/Acura/Integra/Curt/Hitch/1995/CUR11147.html?TID=gglpla&origin={adtype}			http://imgs.cpsimg.com/is/image/Autos/cur11147_is		New	In Stock	97.18 USD	Curt	11147	powdercoated black		US::Ground:0 USD	0.00 lbs 	Y			1995	Acura	Integra		Hitch		Accessory	Rear	with pin and clip; ball and ball mount sold separately	Performance/Accessory	1995 Acura Integra Hitch	Curt 1995 Acura Hitch	lifetime curt limited warranty with 1-year warranty on finish		Unsold	Stock Ship			1994	2001	Branded				Hitch				No	98.19 USD	 Curt Rear Hitch-powdercoated Black, Receiver	With Pin And Clip; Ball And Ball Mount Sold Separately	18504fc62d918316b925c9a8514281d5	Accessory	Hitches, Winches & Trailers	0.00	82.62	4.67	10.90	Curt 11147 1.25 in. Receiver Hitch With Flat Bar Concealed Cross Tube - Class I - Up To 2500 lbs.	0.00	0.00	3.95	612314010684	
